d1O Configuration
1,"Square, 20 x 20ft.; passage on each wall"
2,"Square, 20 x 20ft.; door on two walls, passage in third wall"
3,"Square, 40 x 40 ft.; doors on three walls"
4,"Rectangle, 80 x 20ft., with row of pillars down the middle; two passages leading from each long wall, doors on each short wall"
5,"Rectangle, 20 x 40ft.; passage on each wall"
6,"Circle, 40ft. diameter; one passage at each cardinal direction"
7,"Circle, 40ft. diameter; one passage in each cardinal direction; well in middle of room (might lead down to lower level)"
8,"Square, 20 x 20ft.; door on two wal ls , passage on third wall, secret door on fourth wall"
9,"Passage, 10 ft. wide; T intersection"
10-11,"Passage, 10ft. wide; four-way intersection"
